os,clicks_by_os,downloads_by_os,download_ratio_by_os
0,364804,38039,0.10427243122334184
1,2215593,2294,0.0010353887198596493
2,691125,172,0.0002488695966720926
3,2904808,2454,0.0008448062660251555
4,593103,5707,0.009622274714509958
5,152361,116,0.0007613496892249329
6,4632561,5486,0.0011842261764065277
7,213026,5515,0.02588885863697389
8,5278317,5609,0.0010626493255331197
9,4370878,3189,0.0007296016955861042
10,5262422,6289,0.0011950770956795178
11,1354955,6161,0.004547014476495529
12,2006410,1517,0.0007560767739395239
13,39782808,61622,0.0015489605459725216
14,2503681,3869,0.0015453246639647782
15,4408470,4388,0.0009953566656912716
16,3081268,4225,0.0013711887443740693
17,9639776,11371,0.001179591724952945
18,8974159,11682,0.0013017375778610564
19,44181914,79669,0.0018032039082779437
20,4013563,5045,0.0012569878683852725
21,116237,19181,0.16501630289838864
22,7414405,13115,0.0017688540078401435
23,1844222,1255,0.0006805037571398671
24,374367,47461,0.12677666567833168
25,4156096,5065,0.0012186917722785998
26,881482,1232,0.0013976462366786842
27,1787478,6278,0.0035122110593808708
28,1317819,1421,0.0010782967918963075
29,103442,19534,0.18884012296746003
30,1156169,6017,0.0052042564711560334
31,767158,954,0.0012435508721801768
32,1658075,6955,0.0041946232830239885
34,263965,443,0.0016782527986664898
35,1687198,1477,0.0008754159262872526
36,714142,5701,0.007983006180843586
37,2905944,8230,0.0028321261524654295
38,177767,11976,0.0673690842507327
39,94800,0,0.0
40,660470,1856,0.0028101200660135962
41,2467180,1994,0.000808210183286181
42,405828,134,0.0003301891441694511
43,331317,5777,0.017436473226547386
44,175911,193,0.0010971457157312504
45,14438,2,0.00013852334118298935
46,287971,177,0.0006146452246927642
47,1450205,5899,0.004067700773338942
48,167284,273,0.0016319552377991918
49,650690,994,0.001527609153360279
50,72970,6575,0.09010552281759628
52,71580,110,0.0015367421067337245
53,1356478,484,0.000356806376513294
54,2182,0,0.0
55,77345,72,0.0009308940461568298
56,129303,0,0.0
57,22188,7,0.0003154858482062376
58,282315,127,0.000449852115544693
59,23390,1173,0.05014963659683625
60,14452,0,0.0
61,6019,5569,0.9252367502907459
62,36854,0,0.0
63,31167,1,3.20852183399108e-05
64,67683,1,1.4774758802062557e-05
65,104744,0,0.0
66,69170,114,0.001648113343935232
67,5502,495,0.08996728462377317
68,3275,0,0.0
69,10011,0,0.0
70,93613,1,1.0682277034172604e-05
71,8417,0,0.0
72,3684,0,0.0
73,37828,1,2.6435444644178915e-05
74,7413,0,0.0
75,450,0,0.0
76,25706,680,0.02645296817863534
77,56115,98,0.0017464136148979774
78,5287,0,0.0
79,80805,0,0.0
80,5876,2,0.0003403675970047651
81,5564,14,0.0025161754133716753
83,13764,0,0.0
84,2544,165,0.06485849056603774
85,15746,0,0.0
86,2024,0,0.0
87,4658,10,0.0021468441391155
88,2802,0,0.0
89,2617,5,0.0019105846388995033
90,25700,0,0.0
91,472,21,0.04449152542372881
92,5402,13,0.002406516105146242
93,61,0,0.0
94,244,0,0.0
95,1526,4,0.002621231979030144
96,24119,99,0.004104647788050914
97,56682,0,0.0
98,24814,22,0.0008865962762956396
99,126,20,0.15873015873015872
100,18720,0,0.0
101,1261,0,0.0
102,5436,0,0.0
103,372,0,0.0
104,232,21,0.09051724137931035
105,2596,0,0.0
106,3586,0,0.0
107,2267,5,0.0022055580061755625
108,677,5,0.007385524372230428
109,16924,52,0.0030725596785629874
110,3737,1,0.0002675943270002676
111,2789,0,0.0
112,5304,0,0.0
113,1313,20,0.015232292460015232
114,2022,0,0.0
115,316,0,0.0
116,185,0,0.0
117,3032,2,0.0006596306068601583
118,3781,7,0.0018513620735255223
119,740,0,0.0
120,333,1,0.003003003003003003
121,142,0,0.0
122,333,0,0.0
123,1850,4,0.002162162162162162
124,837,0,0.0
125,368,0,0.0
126,230,0,0.0
127,383,0,0.0
128,364,0,0.0
129,326,0,0.0
130,183,0,0.0
131,8,1,0.125
132,3493,2,0.000572573718866304
133,2137,0,0.0
134,2479,3,0.0012101653892698668
135,491,111,0.22606924643584522
136,57,0,0.0
137,2367,0,0.0
138,2193,0,0.0
139,12,0,0.0
140,1466,0,0.0
141,2565,6,0.0023391812865497076
142,972,0,0.0
143,360,0,0.0
145,2605,7,0.002687140115163148
146,36,8,0.2222222222222222
147,334,0,0.0
148,1089,0,0.0
149,427,0,0.0
150,146,0,0.0
151,1006,0,0.0
152,3078,3,0.0009746588693957114
153,782,0,0.0
154,20,3,0.15
155,4547,10,0.0021992522542335605
156,1360,0,0.0
157,143,0,0.0
158,434,1,0.002304147465437788
159,387,0,0.0
160,115,0,0.0
161,60,0,0.0
162,375,0,0.0
163,273,0,0.0
164,1650,0,0.0
166,1,0,0.0
167,2,0,0.0
168,423,3,0.0070921985815602835
169,465,1,0.002150537634408602
170,21,0,0.0
171,1082,0,0.0
172,805,0,0.0
173,179,0,0.0
174,1987,43,0.021640664318067437
175,456,0,0.0
176,23,0,0.0
177,72,0,0.0
178,1352,0,0.0
179,26,0,0.0
181,52,0,0.0
183,568,1,0.0017605633802816902
184,2206,10,0.004533091568449683
185,311,0,0.0
186,4,0,0.0
187,2,0,0.0
188,659,2,0.0030349013657056147
189,10,0,0.0
190,78,0,0.0
191,23,0,0.0
192,328,0,0.0
193,252,0,0.0
194,33,0,0.0
196,308,0,0.0
197,2,0,0.0
198,1881,4,0.002126528442317916
199,156,0,0.0
200,14,0,0.0
201,36,0,0.0
202,20,0,0.0
203,21,0,0.0
204,6,0,0.0
205,104,0,0.0
206,3,0,0.0
207,241,0,0.0
208,133,0,0.0
209,305,0,0.0
211,5,0,0.0
212,16,0,0.0
213,122,0,0.0
214,177,0,0.0
215,140,0,0.0
216,3,0,0.0
217,462,0,0.0
219,83,0,0.0
222,109,0,0.0
223,334,35,0.10479041916167664
224,17,0,0.0
225,4,0,0.0
226,202,0,0.0
227,2,0,0.0
228,94,0,0.0
229,65,0,0.0
230,1,0,0.0
231,180,0,0.0
232,36,0,0.0
233,79,0,0.0
234,43,0,0.0
235,7,0,0.0
236,2,0,0.0
237,191,0,0.0
239,35,0,0.0
240,1,0,0.0
241,36,0,0.0
242,12,5,0.4166666666666667
243,26,0,0.0
244,21,0,0.0
245,310,0,0.0
246,5,0,0.0
248,35,0,0.0
249,1,0,0.0
250,25,0,0.0
251,62,0,0.0
252,130,0,0.0
253,3,0,0.0
254,69,0,0.0
255,6,0,0.0
256,17,0,0.0
257,2,0,0.0
259,4,0,0.0
260,219,72,0.3287671232876712
261,35,0,0.0
262,38,0,0.0
263,1,0,0.0
264,1,0,0.0
265,38,0,0.0
267,1,0,0.0
268,28,0,0.0
269,10,0,0.0
270,1,0,0.0
271,3,0,0.0
272,10,0,0.0
273,1,0,0.0
274,67,0,0.0
276,1,0,0.0
277,23,0,0.0
278,7,0,0.0
279,2,0,0.0
280,5,0,0.0
281,172,0,0.0
282,7,0,0.0
283,6,0,0.0
284,166,0,0.0
285,5,0,0.0
286,33,0,0.0
287,15,0,0.0
289,12,0,0.0
290,2,0,0.0
291,2,0,0.0
294,23,0,0.0
295,1,0,0.0
296,10,0,0.0
297,3,0,0.0
298,16,0,0.0
299,9,0,0.0
300,49,0,0.0
301,7,0,0.0
302,114,1,0.008771929824561403
303,7,0,0.0
305,139,0,0.0
306,57,0,0.0
307,3,0,0.0
308,3,0,0.0
309,5,0,0.0
310,4,0,0.0
311,2,0,0.0
313,2,0,0.0
314,7,3,0.42857142857142855
315,16,0,0.0
316,34,0,0.0
318,1,0,0.0
319,2,0,0.0
321,27,0,0.0
322,1,0,0.0
323,5,0,0.0
324,20,0,0.0
325,1,0,0.0
326,78,0,0.0
327,2,0,0.0
328,1,0,0.0
329,14,0,0.0
330,1,0,0.0
334,1,0,0.0
335,1,0,0.0
336,26,0,0.0
337,3,0,0.0
338,33,0,0.0
339,20,0,0.0
341,25,0,0.0
342,39,0,0.0
343,3,0,0.0
346,7,3,0.42857142857142855
347,22,0,0.0
350,1,0,0.0
351,1,0,0.0
352,6,0,0.0
355,53,0,0.0
356,1,0,0.0
357,1,0,0.0
358,12,0,0.0
360,4,0,0.0
361,1,0,0.0
362,4,0,0.0
363,4,0,0.0
364,6,0,0.0
365,1,0,0.0
366,1,0,0.0
367,1,0,0.0
369,2,0,0.0
370,1,0,0.0
372,29,0,0.0
373,41,0,0.0
374,2,0,0.0
375,5,0,0.0
376,8,0,0.0
377,1,0,0.0
379,14,0,0.0
380,23,0,0.0
382,5,0,0.0
384,1,0,0.0
385,9,0,0.0
391,4,0,0.0
392,2,0,0.0
399,1,0,0.0
400,61,0,0.0
401,3,0,0.0
404,44,0,0.0
405,3,0,0.0
406,29,0,0.0
407,6,0,0.0
408,3,0,0.0
409,4,0,0.0
410,3,0,0.0
411,5,0,0.0
412,7,0,0.0
414,10,0,0.0
416,4,0,0.0
417,2,0,0.0
421,2,0,0.0
422,1,0,0.0
424,2,0,0.0
426,2,0,0.0
427,2,0,0.0
429,3,0,0.0
430,3,0,0.0
434,2,0,0.0
435,1,0,0.0
436,2,0,0.0
438,14,0,0.0
442,2,0,0.0
444,14,0,0.0
445,5,0,0.0
451,11,0,0.0
452,1,0,0.0
453,1,0,0.0
455,4,0,0.0
458,6,0,0.0
461,12,0,0.0
463,2,0,0.0
464,6,0,0.0
465,27,0,0.0
466,3,0,0.0
470,7,0,0.0
471,4,0,0.0
474,2,0,0.0
475,23,0,0.0
476,3,0,0.0
477,2,0,0.0
482,1,0,0.0
485,1,0,0.0
489,3,0,0.0
491,8,0,0.0
493,2,0,0.0
494,1,0,0.0
496,5,0,0.0
498,1,0,0.0
499,1,0,0.0
500,2,0,0.0
501,1,0,0.0
504,2,0,0.0
505,10,0,0.0
507,8,0,0.0
508,8,0,0.0
509,6,0,0.0
510,1,0,0.0
511,10,0,0.0
512,4,0,0.0
513,17,0,0.0
514,26,0,0.0
519,1,0,0.0
520,2,0,0.0
522,7,0,0.0
527,3,0,0.0
529,1,0,0.0
530,37,0,0.0
531,10,0,0.0
534,3,0,0.0
536,1,0,0.0
541,4,0,0.0
543,2,0,0.0
549,3,0,0.0
551,5,0,0.0
552,3,0,0.0
555,1,0,0.0
557,5,0,0.0
559,1,0,0.0
560,2,0,0.0
562,12,0,0.0
563,1,0,0.0
564,2,0,0.0
566,10,2,0.2
567,1,0,0.0
568,1,0,0.0
570,7,0,0.0
571,5,0,0.0
573,4,0,0.0
578,5,0,0.0
579,6,0,0.0
584,3,0,0.0
590,1,0,0.0
596,3,0,0.0
597,2,0,0.0
599,2,0,0.0
602,3,0,0.0
603,54,0,0.0
607,713229,874,0.001225412875808471
608,2,0,0.0
609,2,0,0.0
610,6,0,0.0
611,2,0,0.0
612,2,0,0.0
613,3,0,0.0
614,37,1,0.02702702702702703
615,2,0,0.0
616,4,0,0.0
617,3,0,0.0
618,1,0,0.0
619,2,0,0.0
620,2,0,0.0
621,5,0,0.0
622,6,0,0.0
623,26,0,0.0
624,6,0,0.0
625,1,0,0.0
626,1,0,0.0
627,1,0,0.0
628,2,0,0.0
629,3,0,0.0
630,1,0,0.0
631,1,0,0.0
632,1,0,0.0
633,3,0,0.0
634,5,0,0.0
635,2,0,0.0
636,1,0,0.0
637,1,0,0.0
638,1,0,0.0
639,2,0,0.0
640,5,0,0.0
641,3,0,0.0
642,2,0,0.0
643,2,0,0.0
644,1,0,0.0
645,17,0,0.0
646,1,0,0.0
647,2,0,0.0
648,3,0,0.0
649,5,0,0.0
650,1,0,0.0
651,2,0,0.0
652,1,0,0.0
653,1,0,0.0
654,3,0,0.0
655,24,0,0.0
656,1,0,0.0
657,1,0,0.0
658,2,1,0.5
659,1,0,0.0
660,1,0,0.0
661,1,0,0.0
662,1,0,0.0
663,1,0,0.0
664,1,0,0.0
665,1,0,0.0
666,1,0,0.0
667,1,0,0.0
668,1,0,0.0
669,13,0,0.0
670,6,0,0.0
671,3,0,0.0
672,1,0,0.0
673,1,0,0.0
674,2,0,0.0
675,7,0,0.0
676,1,0,0.0
677,3,0,0.0
678,2,0,0.0
679,7,0,0.0
680,1,0,0.0
681,1,0,0.0
682,1,0,0.0
683,1,0,0.0
684,1,0,0.0
685,3,0,0.0
686,1,0,0.0
687,1,0,0.0
688,1,0,0.0
689,154,0,0.0
690,1,0,0.0
691,3,0,0.0
692,3,0,0.0
693,1,0,0.0
694,1,0,0.0
695,1,0,0.0
696,4,0,0.0
697,2,0,0.0
698,1,0,0.0
699,1,0,0.0
700,1,0,0.0
701,1,0,0.0
702,1,0,0.0
703,3,0,0.0
704,1,0,0.0
705,4,0,0.0
706,1,0,0.0
707,1,0,0.0
708,1,0,0.0
709,4,0,0.0
710,2,0,0.0
711,7,0,0.0
712,1,0,0.0
713,1,0,0.0
714,10,0,0.0
715,1,0,0.0
716,2,0,0.0
717,1,0,0.0
718,4,0,0.0
719,2,0,0.0
720,1,0,0.0
721,4,0,0.0
722,2,0,0.0
723,10,0,0.0
724,1,0,0.0
725,2,0,0.0
726,2,0,0.0
727,2,0,0.0
728,1,0,0.0
729,2,0,0.0
730,8,0,0.0
731,1,0,0.0
732,1,0,0.0
733,4,3,0.75
734,1,0,0.0
735,3,0,0.0
736,4,0,0.0
737,2,0,0.0
738,2,0,0.0
739,3,0,0.0
740,1,0,0.0
741,1,0,0.0
742,2,0,0.0
743,3,0,0.0
744,6,0,0.0
745,2,0,0.0
746,1,0,0.0
747,5,0,0.0
748,288563,794,0.002751565516022498
749,1,0,0.0
750,2,0,0.0
751,2,0,0.0
752,3,0,0.0
753,3,0,0.0
754,1,0,0.0
755,18,0,0.0
756,2,0,0.0
757,1,0,0.0
758,3,0,0.0
759,2,0,0.0
760,1,0,0.0
761,2,0,0.0
762,5,0,0.0
763,14,0,0.0
764,4,0,0.0
765,1,0,0.0
766,1,0,0.0
767,1,0,0.0
768,1,0,0.0
769,1,0,0.0
770,1,0,0.0
771,2,0,0.0
772,1,0,0.0
773,1,0,0.0
774,2,0,0.0
775,1,0,0.0
776,3,0,0.0
777,9,0,0.0
778,1,0,0.0
779,13,0,0.0
780,4,0,0.0
781,2,0,0.0
782,6,0,0.0
783,1,0,0.0
784,2,0,0.0
785,1,0,0.0
786,1,0,0.0
787,3,0,0.0
788,1,0,0.0
789,2,0,0.0
790,3,0,0.0
791,1,0,0.0
792,1,0,0.0
793,2,0,0.0
794,1,0,0.0
795,1,0,0.0
796,1,0,0.0
797,1,0,0.0
798,1,0,0.0
799,2,0,0.0
800,2,0,0.0
801,1,0,0.0
802,1,0,0.0
803,1,0,0.0
804,1,0,0.0
805,1,0,0.0
806,1,0,0.0
807,1,0,0.0
808,3,0,0.0
809,4,0,0.0
810,2,0,0.0
811,9,0,0.0
812,1,0,0.0
813,1,0,0.0
814,1,0,0.0
815,3,0,0.0
816,2,0,0.0
817,4,0,0.0
818,1,0,0.0
819,1,0,0.0
820,2,0,0.0
821,1,0,0.0
822,2,0,0.0
823,1,0,0.0
824,7,0,0.0
825,1,0,0.0
826,8,0,0.0
827,1,0,0.0
828,1,0,0.0
829,1,0,0.0
830,2,0,0.0
831,3,0,0.0
832,2,0,0.0
833,1,0,0.0
834,1,0,0.0
835,1,0,0.0
836,10,0,0.0
837,1,0,0.0
838,2,0,0.0
839,1,0,0.0
840,2,0,0.0
841,1,0,0.0
842,3,0,0.0
843,1,0,0.0
844,1,0,0.0
845,1,0,0.0
846,1,0,0.0
847,1,0,0.0
848,1,0,0.0
849,3,0,0.0
850,4,0,0.0
851,1,0,0.0
852,2,0,0.0
853,2,0,0.0
854,5,0,0.0
855,3,0,0.0
856,4,0,0.0
857,5,0,0.0
858,1,0,0.0
859,1,0,0.0
860,1,0,0.0
861,1,0,0.0
862,1,0,0.0
863,4,0,0.0
864,1,0,0.0
865,1,0,0.0
866,203701,819,0.00402059881885705
867,2,0,0.0
868,4,0,0.0
869,1,0,0.0
870,3,0,0.0
871,1,0,0.0
872,1,0,0.0
873,2,0,0.0
874,3,0,0.0
875,1,0,0.0
876,3,0,0.0
877,1,0,0.0
878,1,0,0.0
879,3,0,0.0
880,1,0,0.0
881,3,0,0.0
882,4,0,0.0
883,2,0,0.0
884,3,0,0.0
885,6,0,0.0
886,4,0,0.0
887,1,0,0.0
888,2,0,0.0
889,2,0,0.0
890,1,0,0.0
891,2,0,0.0
892,1,0,0.0
893,1,0,0.0
894,1,0,0.0
895,1,0,0.0
896,4,0,0.0
897,3,0,0.0
898,1,0,0.0
899,2,0,0.0
900,8,0,0.0
901,4,0,0.0
902,1,0,0.0
903,2,0,0.0
904,1,0,0.0
905,2,0,0.0
906,3,0,0.0
907,1,0,0.0
908,2,0,0.0
909,4,0,0.0
910,2,0,0.0
911,2,0,0.0
912,1,0,0.0
913,1,0,0.0
914,2,0,0.0
915,2,0,0.0
916,1,0,0.0
917,3,0,0.0
918,2,0,0.0
919,1,0,0.0
920,2,0,0.0
921,1,0,0.0
922,3,0,0.0
923,1,0,0.0
924,3,0,0.0
925,3,0,0.0
926,1,0,0.0
927,1,0,0.0
928,1,0,0.0
929,1,0,0.0
930,2,0,0.0
931,3,0,0.0
932,1,0,0.0
933,1,0,0.0
934,1,0,0.0
935,2,0,0.0
936,1,0,0.0
937,1,0,0.0
938,1,0,0.0
939,1,0,0.0
940,1,0,0.0
941,2,0,0.0
942,1,0,0.0
943,1,0,0.0
944,2,0,0.0
945,1,0,0.0
946,2,0,0.0
947,1,0,0.0
948,2,0,0.0
949,1,0,0.0
950,1,0,0.0
951,1,0,0.0
952,2,0,0.0
953,2,0,0.0
954,3,0,0.0
955,1,0,0.0
956,2,0,0.0
